Bankrupt,working capital to total assets assets,retained earning to total assets,ROA (C) : Return On Total Assets (C) : before interest and depreciation before interest,net worth / assets
1,672775292,903224771,370594257,792423739
1,751110917,931065218,464290937,828823654
1,829501915,909903362,426071272,792484204
1,72575418,906902159,399844001,848535236
1,751822452,913850197,465022181,893490945
1,686728646,903041267,388680349,819572513
0,729416462,911441408,390922829,783898177
0,797005214,935449309,508360552,891797926
0,813737523,935200209,488519475,941409439
0,825695871,938289897,495685663,878707259
0,751204343,942828956,482474528,896423497
0,769113889,932955215,444401111,905614173
0,760000222,930139635,491151952,855337546
0,791909627,930763203,474040852,89343048
0,802390919,940251658,506703066,910360674
0,791990661,93354091,513820504,900928137
0,752032218,942018219,488909472,938718747
0,816363502,948858907,53595281,921274602
0,766580251,935009282,504070589,858663119
0,809073201,933563971,487398235,922514134
0,789153248,93976514,485253254,903649061
0,847345862,937920805,504558085,899265351
0,764144883,936223802,51201677,853493364
0,734030367,938561233,49485692,806965565
0,745811316,933883562,509969288,805484173
0,752991982,923742746,444986106,853251504
0,7469121,942045501,519280456,907942075
0,839002275,943096297,54740896,96390241
0,819444466,937685848,500853118,910421139
1,703730256,908947698,416126359,780391208
1,673325141,868460717,462194706,771109835
0,697045111,908330179,476088334,791758624
0,785427201,93747354,505874324,883151435
0,799890751,937101764,486374494,93766061
0,826180808,934730337,494369424,875895637
0,753131107,938233789,475162092,877377029
0,752031074,927407109,462925949,860718929
0,784658594,930539498,478915809,852798017
0,821157204,932102119,481060791,904616501
0,80096655,934363318,486228246,91991414
0,773200226,932853038,507824307,881125858
0,746585922,942100288,48915322,93097923
0,801107925,945429866,511188027,91335369
0,751569315,938496381,523034173,862018926
0,79592654,935180058,508848048,908849049
0,775479414,94055514,488958222,905765335
0,855304513,937669899,502120606,900323488
0,76454758,937543557,523082923,85805847
0,736628546,939119704,493345683,798893491
0,741778104,932966188,505630576,815339964
0,732740421,9211574,469555891,84578408
0,739914837,941752414,523716667,908395562
0,820765492,937410454,521912933,948151283
0,797277117,936300905,503193097,906097893
1,715123509,920882488,453029786,78964235
1,662359963,91282594,472090869,764700547
1,692375034,841966378,66933164,678628654
1,676279736,915031112,406668942,778547027
0,72385504,903544494,48223078,797140007
0,76716291,936347817,488519475,858451492
0,820679032,942043664,476478331,958369864
0,846880272,928823726,488129479,877588657
0,755503983,934188186,469165895,883786317
0,756146613,931638648,48227953,847900354
0,756244703,929574206,464193438,841611996
0,834827305,933718216,475893336,899446745
0,790630965,927521695,473504607,9142002
0,800599525,932855984,503534344,886688636
0,758027888,941790765,478330815,934576896
0,803408187,940692863,496368157,859993349
0,781432705,942619685,544825233,897209541
0,799205296,939887837,520060449,917918796
0,775306441,940056133,488811973,901502555
0,889190131,942446954,532394092,9058258
0,75648257,938416026,525032906,870967742
0,776495597,939490544,489543216,803337667
0,731955277,935860147,512553015,817939958
0,727951678,932608836,481938283,843335248
0,767330451,947071789,540145274,910662998
0,85496143,937759735,523034173,959941954
0,809688727,937901496,505923073,928137376
1,765877741,920323044,432749963,814916709
0,751703079,890634803,480622045,800767905
0,771370284,935490858,480085799,861081718
0,836160279,942644715,474674597,951295462
0,814059608,929281716,464485936,852979412
0,75395297,935256306,489348218,869788675
0,724331437,932474784,47769707,840311999
0,773373941,929809936,463169697,838891072
0,841506676,931455733,4685809,887293285
0,792269445,926685637,476673329,908063005
0,802903455,937256539,521620436,895818847
0,761156601,948081249,50514308,940744324
0,799490482,941712687,488616975,87471657
0,790800395,939097145,512991761,889318862
0,78204296,94295667,529859114,906974635
0,773878309,939296757,474187101,952172204
0,873377522,942993144,496806903,908546724
0,768692026,941180331,52688539,879221211
0,783779498,941691237,484278263,804184176
0,750246662,93727788,513820504,839012002
0,737868245,934138241,48340077,840674789
0,780738836,943543262,538439039,929195513
0,829889251,935067187,502705601,90788161
0,814712471,937744832,49602691,918614143
1,749584605,934494715,504363087,80823533
1,729383528,931547845,470677132,803609759
0,757691301,940010767,496124409,865435197
0,760386149,943071757,522741676,868337515
0,756169518,931717332,446302345,90630952
0,737458293,924905685,438746161,85198174
0,802469638,934534782,503241847,884663059
0,818660604,936722179,454199776,972639599
0,810589624,932266767,479354556,951446625
0,782680791,944796324,550723931,936088521
0,810045538,935500775,501194365,938809445
0,772950692,935612599,485594501,858391027
0,780335365,933508571,479452055,889228165
0,803355858,940632554,484229513,895637452
0,696534784,896988131,384926632,861988693
0,744675475,930078706,479354556,846298032
0,778115712,927051004,450397309,884390967
0,810611279,934835229,517184225,922967621
0,865739501,957603554,492663189,907428122
0,840712926,946518295,500073124,911328113
0,751800419,940005629,504753083,860930556
0,73819695,94283092,527616633,875653778
0,826787788,941547257,532979086,916890891
0,784733359,940977775,524204163,855095686
0,855924294,948291057,506508068,91323276
0,839296125,951351477,530736606,888623515
0,779839062,939561351,470287135,892553738
1,737201424,909745325,470140886,837953865
0,779392824,941294675,516306732,879825861
0,779332161,941093086,508311802,8688817
0,800192112,932900561,477209574,911509508
0,790510581,928539736,468142154,848837561
0,835999006,936813058,50855555,855488708
0,809823823,93701903,488665724,936783868
0,830177957,929953336,469555891,890437464
0,762854559,938541378,500121874,908063005
0,859991632,944778193,567055038,931160625
0,751484002,91591844,463364696,798228376
0,786779333,937197138,492858187,920881579
0,834748779,93915298,493248184,912235088
0,718915607,860211343,479890801,893823503
0,761926145,943531167,546677717,889258397
0,791079985,938041638,479354556,878525864
0,815781274,937403161,520742943,897723494
0,863427662,943051861,480622045,923209481
0,820115637,940513351,485350753,908516492
0,783658909,946288332,528884122,877467727
0,765873218,935463179,488811973,891767694
0,802441895,940014804,527616633,914774617
0,799266558,940454915,517184225,886204916
0,827100383,953329515,5200117,909695559
0,848092544,948544772,529566616,879735163
0,770632494,94167272,480378297,895214197
1,761252295,929417374,456101009,810260906
0,788674002,948519733,546482718,897511866
0,783201453,945670681,529566616,884723524
0,84620708,936674055,469165895,897209541
0,830806857,92532005,445522352,849351513
0,806006415,938087397,507970555,880883998
0,832376687,941129609,502218106,959639629
0,871583078,93257186,483742017,873023551
0,76855958,930975103,465314678,90035372
0,863203943,942387039,533417833,935211779
0,756495953,924961476,496221908,848746863
0,778183283,940965173,496563155,931432718
0,830778097,941174501,49831814,918795538
0,72891621,926639818,460244723,916739729
0,763380456,944512689,521084191,895304895
0,790341442,949404752,526154146,924055991
0,775334535,932981628,520694194,869788675
0,86418677,937374266,483985765,922242041
0,799948019,942149995,507629308,966593101
0,780141389,956821091,550187686,902621157
0,757625918,939621031,481304539,892463041
0,813478427,940529014,527470385,934758291
0,786529528,935852717,492955687,855398011
0,812572479,952803752,514551748,921607159
0,835658752,948129471,519036708,871814252
0,78290249,941775142,501925608,878888654
1,780693384,923377543,454346024,835202709
1,775060563,932464314,468142154,824923663
1,765193202,926596561,465314678,798772561
0,752338294,935350358,496319407,866765426
0,750687796,930250615,472285867,882758412
0,79893936,932288869,479452055,957795447
0,727125391,926887834,452932287,86924449
0,775440918,916081675,427826257,873658433
0,75394116,932558622,46970214,921909484
0,80057078,923824887,438794911,934667594
0,718087641,921560747,464973431,882456087
0,825095213,921216955,487495734,902621157
0,756083574,937286468,511090528,878646794
0,769399685,931854429,480232048,871784019
0,785476486,935607152,468093404,941983856
0,772780552,939859952,496465656,909907186
0,783273125,935946138,49368693,896937449
0,758607533,930353765,469019646,862139855
0,741363808,940009705,490128211,909604861
0,797671033,955362569,589138595,920972277
0,769917368,939877358,480475796,9320676
0,811235029,926723799,458489738,897118844
0,769811773,928822625,46975089,866493334
0,75420705,936876083,492321942,892583971
0,711151701,922553676,440988641,841007346
0,789417104,932819508,488178228,880067721
0,75971455,94014745,528445376,932883877
0,87377312,943570454,514941744,954862896
0,795800311,935626524,4970994,845572452
0,807374868,944436187,517866719,92027693
0,776311255,949628878,491151952,959881489
0,749634747,940446712,528981621,916074614
0,828980746,943882936,484375762,977658191
0,785224982,952201477,544093989,911600206
0,799990592,941799187,542485253,857272425
0,744204018,933458198,501486862,807691145
0,770725039,939498889,52683664,859267769
0,784682693,93440005,487300736,759409862
0,745682557,934002672,504168089,865223569
0,831696367,935135345,507239312,915953684
0,763012822,929929327,474089602,865646824
0,781383359,939855227,524691659,855549173
0,850813272,941865639,553551406,890376999
0,798501011,953760302,540145274,929951326
0,726133373,932963081,491639448,812467878
0,841742944,938917261,524691659,895697917
1,692609135,918323291,447228587,818151586
1,711480705,922436162,456344757,809535327
1,709533951,902171489,345780724,799679536
1,742226715,931610241,469458392,867944493
1,662501905,884894515,440842393,803065574
1,709508977,904351889,370106762,800314418
1,701891227,921638976,438112417,824046921
0,753926399,932486915,486033247,844907337
0,738387545,926187106,467508409,861565438
0,787112583,922162368,434456199,956193125
0,728178017,923437496,457709745,848595701
0,697685995,918322313,459659728,805786498
0,756497154,902805941,421147565,860718929
0,759921964,932217075,43884366,913172295
0,791976814,934220415,446156096,921637392
0,706059394,919565297,462243455,853039877
0,82386679,924144819,484327012,887444448
0,790668011,939296377,519329206,887535145
0,787898178,933426757,486618242,879614233
0,767475458,933303016,471213377,888139795
0,76831273,928517775,460829718,889711884
0,734541111,92285033,451567299,878888654
0,783322067,933689965,495441915,891888624
0,754869597,931565663,479890801,879009584
0,765618171,928096379,47082338,856395683
0,794156342,945219705,547993955,920579254
0,769998868,922707216,435041193,904707198
0,768550393,909104233,398089017,851074765
0,771372015,930712591,50056062,882818877
0,758624852,934226923,471359626,882304925
0,693150674,922632247,468873397,848867793
0,771865049,930957649,487203237,905221151
0,790265772,932137813,494369424,899688605
0,767619726,937764492,510505533,954107083
0,70301486,917197512,494710671,836230613
0,866067393,938100693,506410569,937932702
0,757974442,931505418,494271925,844998035
0,81615931,942686735,506946814,933911782
0,743863058,940558568,481694535,923844363
0,760152843,930706435,473992103,89962814
0,799630361,930665889,436162434,964446594
0,775534357,952162869,549651441,91882577
0,802578447,939991347,522644177,853342202
0,745111551,924824551,466777166,817970191
0,769886691,940226576,521961683,86316776
0,822995634,934749011,491785697,797926051
0,743045189,932614518,496611905,844000363
0,821327724,930283176,473309609,897360704
0,736634221,922891044,440647394,873900293
0,782194907,936980618,50402184,847174774
0,836976376,937753814,512504266,883604922
0,793372003,956362776,553697655,943283853
0,709410211,928441239,49251694,799044653
0,827674898,936672531,50967679,872086344
1,75820875,922503066,506361819,780028419
0,754765228,934067168,493589431,856758473
0,754575676,927800753,487934481,838679445
0,780607898,907439163,474089602,958732654
0,729972703,91442322,498220641,875411918
0,68929055,906082763,479013309,789491187
0,743725897,913874844,454102277,852404994
0,773288764,931605812,45941598,913504852
